Date,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DOP,EUR,GBP,HKD,HRK,HUF,INR,IDR,IRR,JPY,KES,MAD,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PKR,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TZS,UAH,USD,VEF,VND,ZAR
8/23/2014,566.33,343.14,697.62,606.27,608.8,512.01,280.72,,,315.65,1000,,558.17,471.78,817.88,597.49,172.19,428.4,612.66,1000,25.07,,,641.74,,,375.96,386.1,,966.93,,479.05,389.41,,,673.14,468.98,461.94,,,,458.27,,,
8/30/2014,275.83,563.71,536.86,662.31,477.32,522.34,517.77,,,625.58,1000,,472.28,491.26,670.87,351.49,962.12,386.53,605.85,1000,410.23,,,714.15,,,477.66,704.75,,276.4,,421.15,358.71,,,527.1,1000,512.24,,,,637.3,,,
9/6/2014,435.23,260.83,460.63,395.96,520.63,695.17,329.72,,,340.95,93.38,,535.24,557.98,446.74,1000,901.85,496.49,599.81,114.01,44.21,,,783.83,,,367.6,494.68,,130.21,,411.81,402.95,,,501.58,428.8,331.41,,,,672.29,,,
9/13/2014,507.52,958.86,533.57,328.36,818.39,472.52,827.29,,,305.22,71.72,,559.64,710.27,419.86,524.36,213.56,581.06,594.42,282.72,276.71,,,538.51,,,460.98,646.5,,315.74,,759.97,345.16,,,588.34,348.34,795.35,,,,593.55,,,
9/20/2014,540.67,487.79,621.15,306.96,536.51,492.49,1000,,,383.24,8.42,,602.08,525.22,621.92,894.95,309.26,1000,589.59,510.5,9.49,,,519.18,,,729.9,345.28,,67.19,,518.13,519.43,,,767.24,59.07,517.78,,,,585.31,,,
9/27/2014,319.13,776.52,544.64,539.62,526.37,903.64,787.02,,,395.97,188.14,,537.24,524.99,1000,327.53,1000,627.59,585.23,631.06,365.04,,,471.52,,,411.12,463.08,,124.02,,486.67,633.75,,,631.21,168.74,476.25,,,,505.68,,,
10/4/2014,944.33,505.49,411.99,435.8,743.79,366.56,1000,,,525.07,204.17,,664.1,476.72,843.58,648.95,352.05,352.28,581.27,937.43,971.19,,,507.21,,,674.37,588.38,,205.87,,818.35,327.71,,,511.28,93.34,296.2,,,,485.48,,,
10/11/2014,496.47,478.94,675.62,443.98,587.55,335.71,951.64,,,904.34,277.59,,468.24,440.32,470.29,1000,718.21,435.61,577.66,425.78,29.23,,,584.83,,,538.51,419.89,,938.31,,876.29,617.28,,,546.24,419.93,588.51,,,,462.36,,,
10/18/2014,304.38,347.66,419.91,659.4,407.13,561.61,1000,,,1000,1000,,412.07,509.76,556.44,617.73,150.95,422.18,574.36,180.86,177.84,,,288.41,,,452.37,526.52,,1000,,443.33,782.75,,,643.38,849.92,302.41,,,,502.64,,,
10/25/2014,824.97,410.57,416.98,316.31,400.63,683.17,956.31,,,33.46,445.67,,430.32,393.86,769.14,216.91,400.4,544.3,571.33,140.92,167.53,,,352.64,,,728.7,694.78,,445.05,,508.69,1000,,,483.91,762.19,478.05,,,,503.32,,,
11/1/2014,417.72,317.76,494.19,388.75,422.06,1000,1000,,,1000,50.08,,466.75,459.43,397.15,210.15,717.4,461.74,1000,480.65,572.35,,,318.07,,,676.28,548.1,,666.16,,820.95,1000,,,323.58,900.22,604.93,,,,503.7,,,
11/8/2014,323.98,588.11,513.12,1000,330.48,459.95,211.29,,,240.41,142.83,,501.33,488.55,143.2,406.38,423.27,636.31,835.8,809.11,234.71,,,461.63,,,444.93,542.11,1000,1000,,660.67,548.76,,,256.4,1000,704.08,,,,511.82,,,
11/15/2014,59.89,824.85,476.91,397.51,409.11,344.06,225.41,,,287.5,84.63,,549.4,445.87,225.49,188.78,1000,757.06,713.17,1000,553.38,,,398.49,,,468.94,461.09,530.86,702.51,,280.15,642.45,,,374.89,1000,419.8,,,,528.45,,,
11/22/2014,162.99,178.26,525.4,201.62,553.77,580.06,176.97,,,143.2,7.48,,548.88,476.51,352.32,172.26,538.32,487.49,623.91,1000,882.74,,,496.95,1000,,446.25,413.51,351.44,899.38,,305.59,423.84,,,507.51,440.76,230.49,,,,465.3,,,
11/29/2014,210.95,665.16,633.39,321.34,597.96,322.58,277.88,,,251.05,275.68,,704.55,556.67,421.39,333.83,616.34,867.3,556.19,840.29,701.22,,,479.95,534.27,,397.78,449.09,492.92,362.21,,508.08,274.7,,,543.77,259.02,467.13,,,,575.43,,,
12/6/2014,194.75,341.05,539.11,1000,389.36,341.57,420.45,,,782.46,993.93,,583.09,459.22,571.07,614.64,391.57,523.79,503.2,664,608.22,,,574.48,445.82,,642.95,496.96,596.58,258.08,,492.89,381.89,,,634.22,362.39,313.28,,,,541.79,,,
12/13/2014,151.68,407.92,644.79,462.84,593.92,656.35,676.36,,,661.84,810.74,,582.96,512.15,629.95,1000,494.96,386.83,460.76,542.82,533.4,,,700.13,599.41,,829.97,448.24,990.92,543.69,,575.49,490.59,,,683.32,369.09,293.54,,,,574.96,,,
12/20/2014,6.44,603.61,475.48,129.62,324.15,212.85,75.88,,,635.33,423.83,,272.29,324.64,729.64,296.64,196.82,439.87,459.86,4.84,293.06,,,323.96,226.42,,272.33,136.1,364.04,138.12,,271.6,372.06,,,516.53,701.86,296.36,,,,398.66,,,
12/27/2014,1000,270.39,377.69,463.59,469.04,194.28,699.36,,,296.91,547.53,,295.32,383.43,228.7,1000,592.15,625.24,458.92,6.94,1000,,,422.52,521.22,,401.71,255.42,522.09,251.9,,611.94,854.86,,,366.91,173.59,335.07,,,,416.68,,,
1/3/2015,555.88,554.42,493.57,830.36,469.4,520.22,572.7,,,351.86,603.06,,472.04,577.14,473.41,766.48,1000,385.7,457.93,10.51,1000,,,475.84,353.4,,398.01,407.79,520.97,516.75,,931.76,588.03,,,562.04,806.45,564.51,,,,551.31,,,
1/10/2015,1000,695.18,476.12,417.45,489.34,1000,276.37,,,1000,572.96,,650.66,620.54,595.25,412.39,987.78,617.72,456.9,16.45,1000,,,601.6,347.93,,423.03,642.06,605.55,387.72,,492.32,507.81,,,687.2,788.81,916.52,,,,524.02,,,
1/17/2015,1000,513.8,517.9,153.52,655.86,583,243.7,,,60.05,412.61,,601.92,542.72,644.6,604.84,473.25,535.27,455.81,23.1,382.13,,,668.09,421.69,,405.18,494.56,317.82,559.94,,355.81,738.96,,,797.47,596.69,424.28,,,,496.85,,,
1/24/2015,916.47,386.55,420.49,436.64,554.62,743.92,353.5,,,598.01,318.77,,572.93,564.84,464.63,148.38,471.18,299.87,454.66,1000,112.53,,,545.31,732.88,,785.9,462.06,609.69,760.36,,721.84,1000,,,798.32,240.61,479.6,,,,520.65,,,
