Index,Date,BTCAED,BTCARS,BTCAUD,BTCBRL,BTCCAD,BTCCHF,BTCCLP,BTCCNY,BTCCOP,BTCCZK,BTCDKK,BTCDOP,BTCEUR,BTCGBP,BTCHKD,BTCHRK,BTCHUF,BTCINR,BTCIDR,BTCIRR,BTCJPY,BTCKES,BTCKZT,BTCMAD,BTCMXN,BTCMYR,BTCNGN,BTCNOK,BTCNZD,BTCPEN,BTCPHP,BTCPKR,BTCPLN,BTCRON,BTCRUB,BTCSAR,BTCSEK,BTCSGD,BTCTHB,BTCTRY,BTCTZS,BTCUAH,BTCUSD,BTCVEF,BTCVND,BTCZAR
43,12/28/2013,3238.86,7426.07,878.28,2073.52,868.08,715.88,412439.1,4893.66,1465011.22,16094.03,4727.16,,476.72,476.83,6094.46,4553.33,151424.33,48137.94,8183198.05,,83429.12,61450,,6666.67,9960.65,2556.12,121394.13,4974.84,957,,33481.44,,2165.04,2361.68,25054.19,,5088.96,948.98,24535.77,1759.65,,6071.25,814.55,52484.7,,9110.78
44,1/4/2014,3714.32,8638.17,979.9,2289.48,939.37,830.49,474339.95,5327.21,1685465.43,18410.76,6045.73,,655.47,556.23,6901.57,5173.47,184043.96,54219.5,8939216.1,20147300,105280.51,71557.14,,6600,11131.33,2856.03,128610.48,5786.63,1140.93,,38758.91,,2527.12,2959.24,32635.24,3838,5946.53,1232.44,28004.83,2151.35,,6435.63,903.15,53668.38,,10476.29
45,1/11/2014,3156.47,9105.71,949.72,2189.74,911.3,814.11,441509.01,5102.12,1715595.18,17983.59,4946.15,,630.06,518.66,6589.88,5039.86,184416.49,52885.9,9695234.15,19405391.85,111039.08,56005,,6533.33,10799.02,2695.42,135826.83,5475.99,1063.84,,36548.74,,2624.64,2773.35,28589.24,3313.17,5637.54,1100.33,25804.4,1980,,6800,873.29,54852.05,,10181.6
46,1/18/2014,3200,9976.85,950.81,2054.86,897.57,788.94,457783.71,5100,1683948.04,17260.8,5226.53,,624.51,513.85,6622.08,5008.08,168528.57,49938.07,9574307.07,18663483.71,83325.86,57717.57,,6466.67,10924.37,2708.72,133206.25,5414.58,1014.97,,36963.11,,2466.02,2697.9,28675.51,3752.38,5560.28,1120.32,25888,1926.98,,6575,872.14,56035.73,,10113.23
47,1/25/2014,3109.97,9526.72,932.95,1922.21,900.12,773.69,446510.48,5124.62,1675862.38,16709.88,4804.62,,612,502.32,6424.19,4692.35,181887.06,50838.65,9453380,17921575.56,85399.82,65591.18,,6400,10687.17,2786.5,130585.67,5534.48,998.39,,36781.84,,2447.29,2577.23,26522.68,3547.37,5521.14,1127.03,25305.04,1873.96,,6350,856.28,57219.4,,10147.8
48,2/1/2014,3055.83,9526.58,896.25,1936.21,882.14,770.17,441333.08,4932.88,1692430.03,16418.09,4755.83,34575.36,638.27,489.86,6035.76,4630,181461.58,48967.2,8420948.25,17179667.42,101251.74,69466.67,,6333.33,10371.19,2588.32,127965.08,5164.05,960.5,,34090.69,,2519.08,2498.92,26626.1,3061.97,5298.1,1090.24,24231,1880.79,,5935,858.88,59565.55,,9986.11
49,2/8/2014,2730.02,8109.84,771.24,1809.23,790.4,643.71,366995.01,4281.22,1433589.72,13926.36,4192.78,32725.81,548.54,424.8,5306.69,3791.62,165714.95,42080.47,7388516.49,16437759.27,87036.44,59420,,6266.67,8761.79,2286.49,125344.5,4665.47,854.96,,30351.81,,2161.45,2142.98,24175.98,2627.54,4433.38,956.18,21426.39,1600,,5520,751.27,55654.02,16102220.01,8784.54
50,2/15/2014,2372.5,6809.3,705.1,1574.06,722.13,596.16,345767.59,3771.14,1346157.54,13334.67,4798.73,30498.26,476.64,382.96,4876.49,3497.85,137390.32,39293.12,7597172.22,15380552.82,75318.71,56290,,6200,8526.27,2071.99,122723.92,4348.9,779.62,1933.33,28537.29,,1968.5,2020.68,21926.99,2732.64,4232.01,835.33,20076.53,1761.11,,5589.52,693.24,54082.35,15521368.03,7407.64
51,2/22/2014,2461.63,6475.94,641.24,1211.83,669.22,529.08,326591.33,3649.24,1207200.78,12863.95,3961.17,28270.71,428.81,355.5,4194.06,3652.56,129804.84,37826.69,7722410.42,15571736.38,85661.29,46875,,6133.33,7801.57,1850.41,120103.34,3474.7,706.87,2029.84,24316.57,64187.5,1722.18,1820.66,21290.2,2837.74,3845.54,756.58,17786.91,1680.56,,5659.05,642.04,45247.94,14940516.06,6829.42
52,3/1/2014,2550.77,6979.57,717.31,1403.52,734.21,603.29,362006.97,4023.42,1322066.75,12663.21,3792.77,28842.67,470.12,393.2,5000.8,3694.41,152712.12,40728.79,7847648.61,15762919.95,71891.05,53533.33,,6066.67,9232.38,2069.03,117482.76,4248.52,778.19,2126.34,27569.28,65108.33,1983.72,1839.74,22606.63,2942.83,4298.41,870.77,19453.7,1600,,5728.57,705.21,48779.64,14359664.09,7330.8
53,3/8/2014,2501.47,6541.18,698.07,1632.41,715.57,610.46,376434.95,4013.46,1370767.52,12819.03,4798.63,29414.63,467.88,388.11,5085.23,3706.91,142502.73,41140.46,7972886.81,15352999.4,82207.32,53920,,6000,9043.71,2056.05,115184.8,4099.64,765.16,2222.85,27982.28,66029.17,1990.7,1973.89,22302.35,2911.89,4307.33,867.66,19549.83,1457.86,,5830,681.94,51223.08,13778812.12,7408.25
54,3/15/2014,2298.83,6181.75,673.32,1562.69,695.16,576.72,370311.81,3804.87,1310492.03,12540.43,3685.47,27344.49,451.55,368.17,4808.56,3068.39,142833.33,37884.49,8098125,14943078.86,66837.14,54145.45,,6000,8367.53,1999.85,112886.85,3705,707.11,2319.35,26990.28,66950,1824.55,1902.61,21970.21,2880.94,3939.57,781.06,18634.95,1315.71,,5830.08,659.58,49000,13197960.15,6968.77
55,3/22/2014,2139.33,5729.5,617.98,1494,627.23,524.01,299148.35,3481.24,1146891.94,11117.62,3434.59,25274.34,425.67,339.99,4309.6,3407.83,114594.41,32540.06,7896557.78,13551252.33,63061.33,50025,,6000,8225.51,1814.1,110588.89,3622.23,648.4,1614.89,24351.92,65288.89,1619.27,1842.08,20688.03,2850,3654.7,847.58,16744.63,1371.64,,5830.16,601,46400,12617108.17,6403.86
56,3/29/2014,1645.67,4519.71,518.43,1208.91,522.28,450.72,260029.17,2931.09,938002.78,9401.53,2728.77,23204.19,364.31,287.43,3690.39,2761.01,111077.78,29236.42,7694990.56,12159425.81,55686.53,40661.11,,6000,6462.15,1525.05,104052.86,3047.99,545.19,1360,20782.95,63627.78,1393.78,1470.92,18079.1,2534.14,3081.21,592.69,14166.01,1235.82,,5830.25,506.75,40933.33,11549260,5681.69
